ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/ Conservation Reports on File,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),Latitude,Longitude,Point Data,Coordinate Accuracy,Modified
1992.001.BMP.BoBon,,1992,W. North Avenue and Park Avenue,Intersection,Bonnie Bonnell,Mural,,,,,,,,,,Baltimore,MD,21217,,Side of buildings facing North Ave.,,Outdoor,mural,Flowers,,,,Female,,2005; 1991/1993,Paint fading (too light); can't see image clearly; graffiti in some areas; needs immediate attention,,,,,11,Bolton Hill,Midtown,39.310488,-76.628156,,,
2004.015.BMP.BeSte,,2004,200 N. Bentalou Street,,Benari Stewart,Mural,in place,,,,,Urban Xperience,,,,Baltimore,MD,21223,,Side of building,,Outdoor,mural,"Young boy in foreground; three children examing globe and MLK in background; ""It is a dream deeply rooted in the american dream.""",,,,,,2005; 1991/1993,White paint turning yellow at bottom part of mural,,,,,9,Penrose/Fayette Street Outreach,Southwest Baltimore,39.290758,-76.653150,,,
2000.010.BMP.ToSho,,2000,900 Ostend Street,,Tony Shore,Mural,missing,,,,,,,,,Baltimore,MD,21223,,,,,mural,CAN NOT LOCATE,,CAN NOT LOCATE,,Male,,,,,,,,10,Carroll - Camden Industrial Area,Washington Village,39.2787609,-76.6323005,,,
2008.022.BMP.DoTys,,2008,3242 Barclay Street,,"""Donald Tyson-Bey, Jr.""",Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21218,,,,Outdoor,mural,,,,,Male,,,,,,,,14,Abell,Greater Charles Vill./Barclay,39.328008,-76.611279,,,
1999.013.BMP.KyWin,,1999,801 McCulloh Street,,Kylis Winborne,Mural,,,,,,,,,,Baltimore,MD,21201,,East wall of Arena Players' Building,,,mural,Flowers,,Average condition,,Male,,2005; 1991/1993,"paint peeling in several locations, birds nest in Arena Players",,,,,11,Seton Hill,Downtown/Seton Hill,39.298633,-76.622491,,,
1997.008.BMP.PoMas,,1997,2117 E. North Avenue,,Pontella Mason,Mural,in place,,,,,,,,,Baltimore,MD,21202,,Mural on North Side of Duncan Street Miracle Garden,,Outdoor,mural,"Images, including MLK, Malcolm X, Harriet Tubman, A. Philip Randoplh on east wall; Billy Holiday and Chuck Webb on west wall",,,,Male,,2005; 1991/1993,Right mural: paint peeling; no grafiti; few weeds/ Left mural: large amounts of trash on ground at bottom,,,,,12,Broadway East,Clifton-Berea,39.312241,-76.587910,,,8/21/2020 9:12pm
2000.008.XXX.ErSha,,2000,1207 E. North Avenue,,"""Ernest Shaw, Jr.""",Mural,in place,,,,,,,,,Baltimore,MD,21202,,Side of building with park,,Outdoor,mural,,,Excellent condition; mural enclosed by a fence and vacant lot area covered with mulch,,Male,,,,,,,,12,Oliver,Greenmount East,39.311610,-76.602351,,,11/11/2019 10:33pm
1995.005.BMP.LyKiss,,1995,4000 Park Heights Avenue,,Lyle Kissack,Mural,,,,,,Gerald Ross,,,,Baltimore,MD,21215,,Side of building,,Outdoor,mural,"People from community linked, forming a pyramid",,,,Male,,2005; 1991/1993,Paint peeling from brick in multiple locations; trash in area in front of mural,,,,,6,Greenspring,Southern Park Heights,39.334839,-76.662419,,,
488,Memorial Stadium Facade,1950,1096 E. 33rd Street,,Brooke R. Maxwell,Historic Object,demolished,,,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,L.P. Kooken Company,4/20/1950,,Baltimore,MD,21218,,33rd St. between Ellerslie Ave. and Ednor Rd.,,Outdoor,architectural salvage,,,RELOCATED to Maryland Historical Society,,,,,,,,,,14,Ednor Gardens-Lakeside,The Waverlies,39.3293191,-76.6014734,,,9/12/2022 3:04pm
2008.018.BMP.ChLaw,,2008,540 N. Lakewood Avenue,,Charles Lawrence,Mural,,,,,Baltimore Mural Program (BOPA),"""Ernest Shaw, Jr.""",,,,Baltimore,MD,21205,,,,Outdoor,mural,,,,,Male,,,,,,,,13,McElderry Park,Madison/East End,39.297713,-76.579609,,,10/24/2019 9:14pm
